id,y,x,geom,surtidor,osmid
129319,-11.9574786,-77.0176535,Point (-77.01765350346782668 -11.95747858262715013),0,7012786063
129320,-11.9576165,-77.0170985,Point (-77.01709853309638731 -11.95761648435581037),0,7012786064
129321,-11.9579052,-77.0157289,Point (-77.01572888312649923 -11.95790519140009245),0,7012786065
129322,-11.9601708,-77.0247644,Point (-77.02476441591636558 -11.96017081823841899),0,7012786066
129323,-11.9611924,-77.0314812,Point (-77.03148122921056995 -11.96119240686392615),0,7012786067
129324,-11.9617793,-77.0326314,Point (-77.03263135888619217 -11.96177930027730696),0,7012786068
129325,-11.9619714,-77.0251258,Point (-77.02512583205299279 -11.96197142626820842),0,7012786069
129326,-11.9808308,-76.9700937,Point (-76.97009365717927665 -11.98083078155478809),0,7012786070
129327,-11.9843608,-76.9691877,Point (-76.96918766566813019 -11.98436079292411449),0,7012786071
129328,-12.1234025,-76.941905,Point (-76.94190500828504753 -12.12340253649227684),0,7012786072
129329,-12.1345826,-76.9292115,Point (-76.92921148646071572 -12.13458256296233806),0,7012786073
129330,-12.1361207,-76.9165415,Point (-76.91654149735181534 -12.13612066147397606),0,7012786074
129331,-12.1440396,-76.9161951,Point (-76.91619507732383454 -12.14403964438822925),0,7012786075
129340,-11.9575021,-77.0174147,Point (-77.01741469803526741 -11.95750212682472657),0,7012786076
129341,-11.9575189,-77.0181278,Point (-77.01812775087613261 -11.95751894410870975),0,7012786077
129341,-11.9577645,-77.0178519,Point (-77.01785194741881924 -11.95776447645485874),0,7012786078
129342,-11.9578377,-77.0175245,Point (-77.01752449925140809 -11.95783767792365282),0,7012786079
129342,-11.9580006,-77.0133146,Point (-77.01331460374694871 -11.95800063680891334),0,7012786080
129343,-11.9589584,-77.0189389,Point (-77.01893894851801292 -11.95895837796382466),0,7012786081
129343,-11.960654,-77.0320065,Point (-77.03200647749464736 -11.96065396997905417),0,7012786082
129344,-11.9611201,-77.0318442,Point (-77.03184419332040989 -11.96112010188485186),0,7012786083
129344,-11.9612655,-77.0322269,Point (-77.0322268991508281 -11.96126552709995217),0,7012786084
129345,-11.9617363,-77.0318589,Point (-77.03185890442532013 -11.96173628199294114),0,7012786085
129345,-11.9618142,-77.0331099,Point (-77.03310989071277959 -11.96181423571330704),0,7012786086
129346,-11.9618506,-77.0314482,Point (-77.03144821761107153 -11.96185062605059457),0,7012786087
129346,-11.9620583,-77.023761,Point (-77.02376098137652605 -11.9620582903429078),0,7012786088
129347,-11.9628766,-77.0221014,Point (-77.02210139373914899 -11.962876612357638),0,7012786089
129347,-11.9820589,-76.9675099,Point (-76.96750990361047684 -11.98205890338099877),0,7012786090
129348,-11.9829246,-76.9694695,Point (-76.96946952969382494 -11.98292462860275442),0,7012786091
129348,-11.9844329,-76.9717579,Point (-76.97175791747791607 -11.9844328967570064),0,7012786092
129349,-12.123143,-76.9421722,Point (-76.94217223678032269 -12.12314299608009271),0,7012786093
129349,-12.1234635,-76.9425057,Point (-76.94250573516262648 -12.12346351269965083),0,7012786094
129350,-12.1250244,-76.9449608,Point (-76.94496078155550833 -12.12502436383856264),0,7012786095
129350,-12.1348758,-76.9300733,Point (-76.93007327540058782 -12.134875799824),0,7012786096
129351,-12.1358937,-76.9144283,Point (-76.91442826557148749 -12.13589374762477213),0,7012786097
129351,-12.1383554,-76.9169297,Point (-76.9169296770515416 -12.13835537546373544),0,7012786098
129352,-12.1432239,-76.9104997,Point (-76.91049969408130949 -12.14322394457203558),0,7012786099
129353,-12.1476901,-76.9112773,Point (-76.91127734342131816 -12.14769012714260121),0,7012786100
129354,-12.1632296,-76.9103039,Point (-76.91030394769781253 -12.16322955705044428),0,7012786101
129355,-12.1650222,-76.9102913,Point (-76.91029131533802854 -12.16502215342041637),0,7012786102
129356,-12.1619938,-76.9103675,Point (-76.91036754940908793 -12.16199376842485513),0,7012786103
