u,v,osmid,name,highway,oneway,length,lanes,maxspeed
7012786103,7012786101,,,,False,141.89,1,
7012786101,7012786102,,,,False,119.14,1,
1342912341,7012786092,,,,False,229.43,1,
7012786092,7012786071,,,,False,370.33,1,
7012786071,7012786091,,,,False,310.28,1,
7012786091,7012786070,,,,False,261.11,1,
7012786070,7012786090,,,,False,441.15,1,
1977031222,7012786089,,,,False,470.08,1,
7012786089,7012786088,,,,False,219.57,1,
7012786088,7012786069,,,,False,152.87,1,
7012786088,7012786066,,,,False,241.89,1,
7012786066,7012786081,,,,False,1204.6,1,
7012786080,7012786065,,,,False,270.51,1,
7012786065,7012786079,,,,False,201.38,1,
7012786079,7012786078,,,,False,35.85,1,
7012786078,7012786077,,,,False,38.19,1,
7012786077,7012786063,,,,False,57.16,1,
7012786063,7012786076,,,,False,25.71,1,
7012786076,7012786064,,,,False,36.81,1,
7012786094,7012786093,,,,False,50.78,1,
7012786093,7012786072,,,,False,41.02,1,
7012786067,7012786083,,,,False,40.22,1,
7012786083,7012786085,,,,False,68.2,1,
7012786083,7012786082,,,,False,55.93,1,
7012786082,7012786084,,,,False,80.7,1,
7012786084,7012786068,,,,False,80.83,1,
7012786068,7012786086,,,,False,52.63,1,
