id,y,x,osmid
4018,-12.2619411,-76.8329799,4939326048
4019,-12.2618061,-76.8330654,4939326049
4021,-12.2621678,-76.833356,4939326051
5318,-12.1750303,-76.8453974,4934348988
5319,-12.1750043,-76.8454475,4934348989
5434,-12.1724587,-76.852843,4934349402
6988,-12.1993249,-76.8674732,3719054150
6989,-12.1988163,-76.8688036,3719054153
6991,-12.1969845,-76.8674453,3719054159
6997,-12.1977121,-76.8679293,3719054171
6999,-12.1994518,-76.8650276,3719054176
7327,-12.2207252,-76.8959774,4286858720
10024,-12.216865,-76.8943592,1828217730
10025,-12.2169548,-76.8939008,1828217732
11947,-12.2597849,-76.8295252,6255047555
11948,-12.2598167,-76.8292118,6255047556
11949,-12.2596248,-76.829341,6255047557
11950,-12.2585981,-76.8275179,6255047559
11952,-12.2594352,-76.8286798,6255047562
15912,-12.1813015,-76.8488641,4756641987
21030,-12.1644594,-76.8931683,4389390739
22298,-12.1743173,-76.8577362,3783578519
25451,-12.217975,-76.8837071,5882050894
27740,-12.2004525,-76.8599553,3802992633
27741,-12.1994855,-76.8633242,3802992636
27767,-12.197798,-76.8582537,3802992760
27768,-12.1967021,-76.8576851,3802992761
29338,-12.1681827,-76.8557147,3783598104
29351,-12.1711474,-76.8555065,3783598114
32856,-12.2170912,-76.8788008,5067062590
33093,-12.2146498,-76.8805101,3740614732
33512,-12.2174232,-76.8791874,4430054310
34269,-12.2846818,-76.7477519,4791815314
34826,-12.199074,-76.857549,4327035367
35198,-12.2133053,-76.8831236,5057369767
35201,-12.2149267,-76.8867448,5057369774
35202,-12.2137132,-76.8868347,5057369775
35203,-12.2147936,-76.8864077,5057369776
35204,-12.2146603,-76.88607,5057369777
35207,-12.2135987,-76.8864917,5057369778
35209,-12.2150599,-76.8870824,5057369783
35211,-12.2155298,-76.887336,5057369788
35212,-12.2151727,-76.8864387,5057369794
35213,-12.2148568,-76.8865679,5057369795
35214,-12.1812672,-76.8510413,4327036614
35297,-12.2213294,-76.892588,5057370130
35298,-12.2210934,-76.8925693,5057370131
35299,-12.2217357,-76.8926041,5057370132
35300,-12.2213256,-76.8923093,5057370133
35301,-12.2217724,-76.8923708,5057370134
36619,-12.164886,-76.8934636,5489648051
36620,-12.1646011,-76.8939599,5489648052
36622,-12.1648702,-76.8941396,5489648054
36623,-12.1644553,-76.8946892,5489648055
36624,-12.1660382,-76.8929737,5489648056
36628,-12.1666079,-76.8933293,5489648060
37866,-12.1848183,-76.8540253,6658290118
39259,-12.1647778,-76.8839952,5489655235
39260,-12.1650202,-76.8845721,5489655236
39261,-12.1654328,-76.884394,5489655237
39262,-12.1651082,-76.8836921,5489655238
39265,-12.1667443,-76.8851861,5489655247
39266,-12.1664978,-76.8850172,5489655249
39267,-12.1664415,-76.8856252,5489655250
39268,-12.1663198,-76.8865442,5489655251
39269,-12.1695366,-76.8868277,5489655252
39270,-12.1665476,-76.8867257,5489655261
39272,-12.1667259,-76.8856716,5489655264
49811,-12.173768,-76.8457088,4060731633
52871,-12.1891795,-76.8637002,5169608621
52873,-12.1911698,-76.8637184,5169608623
59127,-12.1651296,-76.8943129,4373827925
62276,-12.2036309,-76.8617453,3759558780
65448,-12.2803507,-76.7518581,4938952875
65459,-12.2693314,-76.7346666,4938952888
65766,-12.1647833,-76.8926048,4386877983
65864,-12.2598618,-76.8296325,4938953347
65867,-12.2604735,-76.8306038,4938953350
67844,-12.1648441,-76.8860202,3739384689
67845,-12.1648722,-76.8854359,3739384690
