id,y,x,osmid,geom,surtidor
1947,-12.3620427,-76.7957384,1832653070,POINT (-76.7957384 -12.3620427),1
7309,-11.9259678,-77.0723831,1382565317,POINT (-77.0723831 -11.9259678),1
12919,-11.8403284,-77.1055745,1759542399,POINT (-77.1055745 -11.8403284),1
18618,-12.0475284,-76.9861161,5099008822,POINT (-76.9861161 -12.0475284),1
32266,-12.0863107,-76.8927259,440219747,POINT (-76.8927259 -12.0863107),1
36523,-11.9832871,-76.9935093,6013673735,POINT (-76.9935093 -11.9832871),1
48340,-11.8627659,-77.0190671,1817562039,POINT (-77.0190671 -11.8627659),1
59639,-12.3785994,-76.780758,4893062517,POINT (-76.78075800000001 -12.3785994),1
64076,-12.0202251,-77.0014558,821454970,POINT (-77.0014558 -12.0202251),1
64535,-12.1593997,-76.9828784,4282018988,POINT (-76.9828784 -12.1593997),1
65678,-12.1579081,-76.9833144,1753903539,POINT (-76.9833144 -12.1579081),1
67014,-11.9698354,-77.0904611,1384282038,POINT (-77.0904611 -11.9698354),1
68397,-11.964903,-77.0628831,549093012,POINT (-77.06288309999999 -11.964903),1
69035,-12.1487569,-76.9815353,1410761813,POINT (-76.9815353 -12.1487569),1
73812,-12.3328297,-76.8213971,4332891702,POINT (-76.8213971 -12.3328297),1
76053,-11.9661053,-77.0589112,1295958212,POINT (-77.0589112 -11.9661053),1
86729,-11.9688724,-77.0120665,1977031809,POINT (-77.0120665 -11.9688724),1
94576,-11.9389086,-76.988021,1344496667,POINT (-76.988021 -11.9389086),1
95144,-12.2027486,-76.9474772,1572825459,POINT (-76.94747719999999 -12.2027486),1
105755,-12.2142603,-76.904192,1273740095,POINT (-76.90419199999999 -12.2142603),1
119038,-12.0574968,-77.1177058,306327614,POINT (-77.1177058 -12.0574968),1
127019,-11.8506073,-77.1344412,1758293625,POINT (-77.1344412 -11.8506073),1
